province_code,province_name,city,site_name,latitude,longitude,medium,contamination_type,contamination_group,site_count,cost_min_cad_per_tonne,cost_max_cad_per_tonne,cost_mid_cad_per_tonne,city_adjusted_mid_cad_per_tonne
ON,Ontario,Ottawa,234 Atlantis Ave,45.396481,-75.759673,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,234 Atlantis Ave,45.396481,-75.759673,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,25 George Street,45.426789,-75.693531,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,25 George Street,45.426789,-75.693531,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,250 Lanark - Graham Spry Building,45.397898,-75.752411,Groundwater,Other organics,Unknown,1,,,,
ON,Ontario,Ottawa,250 Lanark - Graham Spry Building,45.397898,-75.752411,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,250 Lanark - Graham Spry Building,45.397898,-75.752411,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,2606 Prince of Wales,45.315025,-75.702612,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"3150 Davidson Road, Ottawa",45.344110,-75.616892,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"3150 Davidson Road, Ottawa",45.344110,-75.616892,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"3197 Davidson Road, Ottawa",45.345714,-75.614996,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Air,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Groundwater,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Groundwater,Other inorganics,Unknown,1,,,,
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Soil,Halogenated Hydrocarbon,Industrial Acids/Solvents,1,450,900,675,688.5
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Soil,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,335 River Road,45.316091,-75.689987,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,"3448 Richmond Road, Ottawa",45.337486,-75.810121,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"3448 Richmond Road, Ottawa",45.337486,-75.810121,Soil,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,"3448 Richmond Road, Ottawa",45.337486,-75.810121,Soil,PHCs (petroleum hydrocarbons),Oil/Petroleum (PHCs),1,180,280,230,234.6
ON,Ontario,Ottawa,350 King Edward (Former Bank of Canada Bldg),45.429740,-75.687650,Groundwater,"Metal, metalloid, and organometallic",Unknown,1,,,,
ON,Ontario,Ottawa,350 King Edward (Former Bank of Canada Bldg),45.429740,-75.687650,Groundwater,PAHs (polycyclic aromatic hydrocarbon),Oil/Petroleum (PHCs),1,180,280,230,234.6
