province_code,province_name,city,site_name,latitude,longitude,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
ON,Ontario,Toronto,Toronto Main Harbour Channel Front (Daybeacon),43.634837,-79.346986,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Other inorganics | BTEXs (benzene, toluene, ethylbenzene, and xylene) | PHCs (petroleum hydrocarbons) | PAHs (polycyclic aromatic hydrocarbon)",7,180,280,238.63
ON,Ontario,Toronto,Toronto Maintenance Center,43.610556,-79.509444,2,Unknown | Oil/Petroleum (PHCs),Other inorganics | PHCs (petroleum hydrocarbons),2,180,280,238.63
ON,Ontario,Toronto,Toronto Training Area,Unknown,Unknown,1,Unknown,"Metal, metalloid, and organometallic",1,,,
ON,Ontario,Toronto,Unknown,Unknown,Unknown,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",7,180,280,238.63
ON,Ontario,Toronto,VIA TMC,43.610556,-79.509444,2,Oil/Petroleum (PHCs) | Unknown,"BTEXs (benzene, toluene, ethylbenzene, and xylene) | Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",4,180,280,238.63
QC,Quebec,Montreal,100 tons balance,45.575800,-73.525800,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,"105 McGill Street and 400 Place D'Youville, Montreal",45.500001,-73.555956,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,200 places prkng Mtl Garrison,45.577100,-73.533100,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,"46 St-Jacques, Montreal",45.506000,-73.557000,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,"643,645, 655 and 655A Montée de Liesse; Lots 1 892 534 and 1 892 535",45.482533,-73.710536,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,AB- Section 10,45.489590,-73.547610,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | Other organics | PAHs (polycyclic aromatic hydrocarbon)",3,180,280,230
QC,Quebec,Montreal,Access ramp and docks repairs Montréal Garrison,45.576700,-73.521900,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon),1,180,280,230
QC,Quebec,Montreal,"Atwater Boulevard, North of HWY 15, Montreal",45.476146,-73.573801,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Behind Kitchen (B155) - Montreal garrison,45.578600,-73.530800,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,"Boulevard Atwater, South of HWY 15, Montreal",45.473089,-73.572386,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,"Boulevard LaSalle, South of HWY 15, Montreal",45.474016,-73.570171,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Brossard,45.471036,-73.544213,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,Building E,45.515550,-73.660000,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,230
QC,Quebec,Montreal,Canal sediments,45.461390,-73.602971,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PCBs (Polychlorinated Biphenyl) and PCDD/Fs (polychlorinated dibenzo-p-dioxin/dibenzofuran) | PHCs (petroleum hydrocarbons)",4,180,280,230
QC,Quebec,Montreal,Cathcart Armoury,45.502300,-73.569700,1,Oil/Petroleum (PHCs),PHCs (petroleum hydrocarbons),2,180,280,230
QC,Quebec,Montreal,"Central thermal retaining wall, Bldg 37 Montreal Garrison",45.576400,-73.519200,1,Oil/Petroleum (PHCs),PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons),2,180,280,230
QC,Quebec,Montreal,Champlain Bridge,45.472740,-73.550920,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons)",3,180,280,230
QC,Quebec,Montreal,Construction of CSC building Montréal,45.575800,-73.525800,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,Depot C - occupied by lessee,45.468865,-73.747621,2,Oil/Petroleum (PHCs) | Unknown,"PAHs (polycyclic aromatic hydrocarbon) | PHCs (petroleum hydrocarbons) | Metal, metalloid, and organometallic",3,180,280,230
QC,Quebec,Montreal,ETAP_approche_nord,45.468240,-73.533170,1,Unknown,"Metal, metalloid, and organometallic",1,,,
QC,Quebec,Montreal,Enlargement of LAV III testing ramp at 202 WKP,45.573600,-73.528100,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
QC,Quebec,Montreal,FEC- Field Electrical Center,45.468865,-73.747621,1,Unknown,PCBs (Polychlorinated Biphenyl) and PCDD/Fs (polychlorinated dibenzo-p-dioxin/dibenzofuran),1,,,
QC,Quebec,Montreal,Former Biotechnology Research Institute - Montreal,45.486620,-73.673180,2,Unknown | Oil/Petroleum (PHCs),"Metal, metalloid, and organometallic | PAHs (polycyclic aromatic hydrocarbon)",2,180,280,230
