province_code,city,site_name,latitude,longitude,sand_score,clay_score,drainage_score,organic_score,score_formula,final_percentage
QC,Montreal,"Highway 15, between Atwater and Gaetan-Laberge, Verdun, Montreal",45.471036,-73.544213,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Ile Sainte-Hélène,45.520630,-73.535190,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Indoor Firing Range L-123, ASU LP",45.576000,-73.526000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Installation of an APU at building L-193,45.576700,-73.521900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,JCP- section 7 (Terrains au sud de Viger),45.522265,-73.545678,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,JCP- section 8 (entre Viger et Maisonneuve Est),45.523996,-73.549640,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,JCP- section 9 (entre Ontario et Maisonneuve Est),45.525346,-73.553733,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"L-10 South, ASU LP",45.577500,-73.516900,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Lachine (rear range light),45.433130,-73.691960,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Layout of a salt shelter,45.575800,-73.525800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Loading platform, L-3 North, ASU LP",45.577800,-73.526700,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Longue Pointe Soil Clean-up,45.576100,-73.525200,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Lot 9 - former petroleum depot,45.468865,-73.747621,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,MMC,45.477814,-73.551406,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Mechanical Workshop L-3 North, ASU LP",45.576000,-73.526000,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Mechanical Workshop, L-3, ASU Longue-Pointe South",45.576100,-73.525200,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Montreal soccer pitch,45.576500,-73.533300,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Multipurpose runway Montreal Garrison north side,45.575800,-73.525800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,New Storage Area in Back of the Building,45.429400,-73.644700,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Normand-Maurice Building,45.482024,-73.584026,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Nun's Island Boulevard, Montreal",45.469234,-73.545800,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,"Nun's Island, Montreal",45.471036,-73.544213,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Old Port of Montreal,45.505000,-73.550830,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Old Port of Montreal - Confinement Cell,45.493272,-73.552467,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
QC,Montreal,Old Port of Montreal - Horloge Basin,45.505000,-73.550830,,,,,(sand*0.30)+(clay*0.25)+(drainage*0.25)+(organic*0.20),
