province_code,province_name,city,site_name,site_id,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5575,winnipeg-osm-parking-lot-56235117,parking_lot,49.8746371285714,-97.1065465428571,4198,surface parking,medium,73,271,88,likely_active,12,79,1049500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5576,winnipeg-osm-parking-lot-56722683,parking_lot,49.7810222214286,-97.1576537428571,2719,surface parking,medium,73,50,88,likely_active,16,51,679750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5577,winnipeg-osm-parking-lot-56722690,parking_lot,49.8949692375,-97.0636005,18545,surface parking,medium,73,139,88,likely_active,24,351,4636250,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5578,winnipeg-osm-parking-lot-56722691,parking_lot,49.8960725,-97.0643899714286,4684,surface parking,medium,73,32,88,likely_active,16,89,1171000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5579,winnipeg-osm-parking-lot-56722692,parking_lot,49.8967174,-97.06429585,1200,surface parking,medium,73,65,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5580,winnipeg-osm-parking-lot-56722695,parking_lot,49.89726026,-97.06622355,12540,surface parking,medium,73,63,88,likely_active,21,237,3135000,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5581,winnipeg-osm-parking-lot-56722700,parking_lot,49.89670576,-97.06756678,1627,surface parking,medium,73,136,88,likely_active,16,31,406750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5582,winnipeg-osm-parking-lot-56722701,parking_lot,49.8965912285714,-97.0682777,1586,surface parking,medium,73,177,88,likely_active,12,30,396500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5583,winnipeg-osm-parking-lot-56722702,parking_lot,49.8957315181818,-97.0686423454545,19358,surface parking,medium,73,255,88,likely_active,21,366,4839500,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5584,winnipeg-osm-parking-lot-56722703,parking_lot,49.8954840375,-97.0657362875,14910,surface parking,medium,73,71,88,likely_active,22,282,3727500,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5585,winnipeg-osm-parking-lot-56722709,parking_lot,49.89786176,-97.06827218,2366,surface parking,medium,73,102,88,likely_active,16,45,591500,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5586,winnipeg-osm-parking-lot-56722714,parking_lot,49.8965531777778,-97.0634370777778,3521,surface parking,medium,73,75,88,likely_active,16,67,880250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5587,winnipeg-osm-parking-lot-56722716,parking_lot,49.8961376333333,-97.0615377444445,9352,surface parking,medium,73,119,88,likely_active,19,177,2338000,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5588,winnipeg-osm-parking-lot-56995910,parking_lot,49.8235430076923,-97.1523535153846,3483,surface parking,medium,73,47,88,likely_active,16,66,870750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5589,winnipeg-osm-parking-lot-56995912,parking_lot,49.8231118428571,-97.1535211428571,2455,surface parking,medium,73,80,88,likely_active,16,46,613750,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5590,winnipeg-osm-parking-lot-56997263,parking_lot,49.8259420666667,-97.2039817444444,1200,surface parking,medium,73,20,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5591,winnipeg-osm-parking-lot-57056245,parking_lot,49.85440514,-97.17362642,1200,surface parking,medium,73,81,88,likely_active,16,23,300000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5592,winnipeg-osm-parking-lot-57056249,parking_lot,49.8535812142857,-97.1733089571429,15691,surface parking,medium,73,109,88,likely_active,22,297,3922750,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5593,winnipeg-osm-parking-lot-57300283,parking_lot,49.8527282105263,-97.1654210526316,15626,surface parking,medium,73,124,88,likely_active,22,295,3906500,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5594,winnipeg-osm-parking-lot-57354824,parking_lot,49.8586401833333,-97.162505075,3597,surface parking,medium,73,163,88,likely_active,12,68,899250,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5595,winnipeg-osm-parking-lot-57354838,parking_lot,49.8592100842105,-97.1632001947368,12406,surface parking,medium,73,88,88,likely_active,21,234,3101500,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5596,winnipeg-osm-parking-lot-57354850,parking_lot,49.857686,-97.1673272545455,17005,surface parking,medium,73,101,88,likely_active,23,321,4251250,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5597,winnipeg-osm-parking-lot-57846848,parking_lot,49.7866576125,-97.15344859375,1896,surface parking,medium,73,49,88,likely_active,16,36,474000,low-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5598,winnipeg-osm-parking-lot-57846850,parking_lot,49.7873875916667,-97.158506875,10416,surface parking,medium,73,114,88,likely_active,19,197,2604000,mid-rise
MB,Manitoba,Winnipeg,Winnipeg Parking Lot 5599,winnipeg-osm-parking-lot-57846855,parking_lot,49.7908612083333,-97.1569655333333,1724,surface parking,medium,73,21,88,likely_active,16,33,431000,low-rise
