source_dataset,source_category,source_site_id,province_code,province_name,city,site_name,site_type,latitude,longitude,area_sqm,former_use,contamination_level,soil_suitability,transit_distance_m,infrastructure_readiness,activity_status,viability_score,estimated_units,estimated_remediation_cad,recommended_form,contamination_group_count,contamination_groups,contamination_types,contamination_record_count,est_cost_min_cad_per_tonne,est_cost_max_cad_per_tonne,est_cost_avg_mid_cad_per_tonne
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-20358537,ON,Ontario,Hamilton,Hamilton Parking Lot 1378,parking_lot,43.2022421285714,-79.9885512428572,2455,surface parking,medium,73,172,88,likely_active,12,46,613750,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-20876986,ON,Ontario,Hamilton,Hamilton Parking Lot 1379,parking_lot,43.24618691,-79.90696917,6500,surface parking,medium,73,284,88,likely_active,14,123,1625000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23702150,ON,Ontario,Hamilton,Hamilton Parking Lot 1382,parking_lot,43.2546233545455,-79.8735581363636,4793,surface parking,medium,73,169,88,likely_active,13,91,1198250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23702152,ON,Ontario,Hamilton,Hamilton Parking Lot 1383,parking_lot,43.2552331272727,-79.8743116545455,4511,surface parking,medium,73,146,88,likely_active,16,85,1127750,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23797485,ON,Ontario,Hamilton,Hamilton Parking Lot 1384,parking_lot,43.2374401,-79.93045822,1318,surface parking,medium,73,376,88,likely_active,8,25,329500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23797491,ON,Ontario,Hamilton,Hamilton Parking Lot 1385,parking_lot,43.2351096333333,-79.9296913166667,1749,surface parking,medium,73,121,88,likely_active,16,33,437250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23797494,ON,Ontario,Hamilton,Hamilton Parking Lot 1386,parking_lot,43.24552188,-79.93072302,1200,surface parking,medium,73,775,88,likely_active,4,23,300000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23810763,ON,Ontario,Hamilton,Hamilton Parking Lot 1387,parking_lot,43.2310086642857,-79.9220132928571,5394,surface parking,medium,73,304,88,likely_active,9,102,1348500,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23946784,ON,Ontario,Hamilton,Hamilton Parking Lot 1389,parking_lot,43.2154102689655,-79.8638814758621,14593,surface parking,medium,73,99,88,likely_active,22,276,3648250,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23946837,ON,Ontario,Hamilton,Hamilton Parking Lot 1390,parking_lot,43.2176407666667,-79.8638540444445,5576,surface parking,medium,73,20,88,likely_active,17,105,1394000,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23946838,ON,Ontario,Hamilton,Hamilton Parking Lot 1391,parking_lot,43.2191203818182,-79.8631835454545,3273,surface parking,medium,73,118,88,likely_active,16,62,818250,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-23946854,ON,Ontario,Hamilton,Hamilton Parking Lot 1392,parking_lot,43.2199077588235,-79.8628457882353,3323,surface parking,medium,73,76,88,likely_active,16,63,830750,low-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-24381870,ON,Ontario,Hamilton,Hamilton Parking Lot 1393,parking_lot,43.3271765333333,-79.8199264111111,10280,surface parking,medium,73,40,88,likely_active,19,194,2570000,mid-rise,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-24410268,ON,Ontario,Hamilton,Hamilton Parking Lot 1394,parking_lot,43.2583826066667,-79.79976078,24799,surface parking,medium,73,627,88,likely_active,17,469,6199750,mixed-use,,,,,,,
non_brownfield_sites_filtered,infill_candidate,hamilton-osm-parking-lot-24411139,ON,Ontario,Hamilton,Hamilton Parking Lot 1395,parking_lot,43.2928286833333,-79.8868826166667,1200,surface parking,medium,73,69,88,likely_active,16,23,300000,low-rise,,,,,,,
